artist,country,lineage
Kim Jong-wook,South Korean,Asian
Mikey ,South Korean,Asian
Flower,South Korean,Asian
Bobby Kim,South Korean,Asian
Clover,South Korean,Asian
Apollo 18 ,South Korean,Asian
Xeno-T,South Korean,Asian
Arie Band,South Korean,Asian
Kim Nam-joo ,South Korean,Asian
Wanna One,South Korean,Asian
Cool,South Korean,Asian
Category:Exo  members,South Korean,Asian
NTB ,South Korean,Asian
U Sung-eun,South Korean,Asian
Hong Kyung-min,South Korean,Asian
Hoya,South Korean,Asian
Jeon So-mi,South Korean,Asian
Lee Dong-gun,South Korean,Asian
Rubber Soul ,South Korean,Asian
Lee Hae-in ,South Korean,Asian
Park Yong-ha,South Korean,Asian
Choi Bo-min,South Korean,Asian
Samuel Seo,South Korean,Asian
B.A.P ,South Korean,Asian
Jessi ,South Korean,Asian
Kim Ju-na,South Korean,Asian
Wheein,South Korean,Asian
Big Mama King,South Korean,Asian
No Min-woo,South Korean,Asian
Holland,South Korean,Asian
Astro,South Korean,Asian
You Hee-yeol,South Korean,Asian
Minzy,South Korean,Asian
Soojin,South Korean,Asian
Leeteuk,South Korean,Asian
Na Yoon-sun,South Korean,Asian
Jung Hee Choi,South Korean,Asian
E'Last,South Korean,Asian
Suga,South Korean,Asian
Son Na-eun,South Korean,Asian
Boom,South Korean,Asian
Wooseok,South Korean,Asian
NST & The Soul Sauce,South Korean,Asian
Park Ji-sung ,South Korean,Asian
Almeng,South Korean,Asian
Yoo Seon-ho,South Korean,Asian
Kim Do-yeon,South Korean,Asian
Kim Kyu-jong,South Korean,Asian
Yang Hee-eun,South Korean,Asian
Andy Lee ,South Korean,Asian
Kim Kwang-seok,South Korean,Asian
A.C.E ,South Korean,Asian
History ,South Korean,Asian
Kim Yu-bin ,South Korean,Asian
OnePiece,South Korean,Asian
Oh Se-hun,South Korean,Asian
Category:CNBLUE members,South Korean,Asian
Fat Cat ,South Korean,Asian
Bumzu,South Korean,Asian
Jvcki Wai,South Korean,Asian
24K ,South Korean,Asian
Baechigi,South Korean,Asian
Min Kyung-hoon,South Korean,Asian
SsingSsing,South Korean,Asian
Sanulrim,South Korean,Asian
Hyuk,South Korean,Asian
Uptown ,South Korean,Asian
Onnine Ibalgwan,South Korean,Asian
BAE173,South Korean,Asian
N.EX.T,South Korean,Asian
Oneus,South Korean,Asian
Chuu ,South Korean,Asian
Lee Ji-hye,South Korean,Asian
Kim Jeong-hoon,South Korean,Asian
Tiny-G,South Korean,Asian
Yuri,South Korean,Asian
NCT,South Korean,Asian
Yang Hyun-suk,South Korean,Asian
Joy,South Korean,Asian
Rain,South Korean,Asian
Lip Service,South Korean,Asian
Highlight,South Korean,Asian
After School,South Korean,Asian
Leo,South Korean,Asian
Kim Da-som,South Korean,Asian
Baro ,South Korean,Asian
Jeon Ji-yoon,South Korean,Asian
Vanner ,South Korean,Asian
Gary,South Korean,Asian
Bae Suzy,South Korean,Asian
Kingston Rudieska,South Korean,Asian
Chunja ,South Korean,Asian
Lee So-jung ,South Korean,Asian
Bae Ki-sung,South Korean,Asian
Juno,South Korean,Asian
Jiyul ,South Korean,Asian
Koo Jun-hoe,South Korean,Asian
Jus2,South Korean,Asian
Eunha,South Korean,Asian
Jia,South Korean,Asian
Nada ,South Korean,Asian
Park Ji-yoon,South Korean,Asian
Jo Eun-byul,South Korean,Asian
Tritops,South Korean,Asian
Jang Hye-jin ,South Korean,Asian
Yangpa,South Korean,Asian
Kang Chun-hyok,South Korean,Asian
CLC,South Korean,Asian
Elo,South Korean,Asian
The Kim Sisters,South Korean,Asian
Woo Hye-mi,South Korean,Asian
Category:Super Junior-T members,South Korean,Asian
Yerin,South Korean,Asian
Kim Na-young,South Korean,Asian
Crush ,South Korean,Asian
Shu-I,South Korean,Asian
Tiffany Young,South Korean,Asian
Eyedi,South Korean,Asian
List of South Korean girl groups,South Korean,Asian
Jang Hyun-seung,South Korean,Asian
Brian Joo,South Korean,Asian
Purple Rain,South Korean,Asian
Sik-K,South Korean,Asian
Hash Swan,South Korean,Asian
Sorn ,South Korean,Asian
Category:Super Junior members,South Korean,Asian
Na Tae-joo,South Korean,Asian
Got7,South Korean,Asian
Jamie,South Korean,Asian
Babylon ,South Korean,Asian
Raspberry Field,South Korean,Asian
Whang Bo-ryung,South Korean,Asian
CB Mass,South Korean,Asian
Pia,South Korean,Asian
Cha In-ha,South Korean,Asian
WoongSan,South Korean,Asian
Ryu Hyo-young,South Korean,Asian
From the Airport,South Korean,Asian
Moon Taeil,South Korean,Asian
Ja Mezz,South Korean,Asian
Kwon So-hyun,South Korean,Asian
AB6IX,South Korean,Asian
Jung Yoon-hak,South Korean,Asian
May ,South Korean,Asian
Category:Fin.K.L members,South Korean,Asian
Bloo,South Korean,Asian
Ren,South Korean,Asian
Buzz,South Korean,Asian
Yohan,South Korean,Asian
MVP ,South Korean,Asian
Goofy ,South Korean,Asian
Ghost9,South Korean,Asian
J,South Korean,Asian
Weeekly,South Korean,Asian
Target ,South Korean,Asian
SM Rookies,South Korean,Asian
Dawn,South Korean,Asian
James Lee,South Korean,Asian
Kim Hee-chul,South Korean,Asian
Uhm Jung-hwa,South Korean,Asian
Lee Hae-ri,South Korean,Asian
Babylon,South Korean,Asian
Lee Hae-in,South Korean,Asian
Seo Jung-hack,South Korean,Asian
J ,South Korean,Asian
Horan,South Korean,Asian
WJSN,South Korean,Asian
U;Nee,South Korean,Asian
